DateTime, Installs, Downloads, Version
2019-07-21T06:00, 9158, 65756, v1.3.2
2019-07-21T07:00, 9159, 65760, v1.3.2
2019-07-21T08:00, 9160, 65766, v1.3.2
2019-07-21T09:00, 9161, 65768, v1.3.2
2019-07-21T10:00, 9161, 65771, v1.3.2
2019-07-21T11:00, 9163, 65776, v1.3.2
2019-07-21T12:00, 9163, 65778, v1.3.2
2019-07-21T13:00, 9163, 65783, v1.3.2
2019-07-21T14:00, 9163, 65788, v1.3.2
2019-07-21T15:00, 9164, 65791, v1.3.2
2019-07-21T16:00, 9166, 65794, v1.3.2
2019-07-21T17:00, 9169, 65800, v1.3.2
2019-07-21T18:00, 9169, 65804, v1.3.2
2019-07-21T19:00, 9174, 65810, v1.3.2
2019-07-21T20:00, 9175, 65815, v1.3.2
2019-07-21T21:00, 9175, 65816, v1.3.2
2019-07-21T22:00, 9175, 65820, v1.3.2
2019-07-21T23:00, 9176, 65823, v1.3.2
2019-07-22T00:00, 9177, 65827, v1.3.2
2019-07-22T01:00, 9177, 65829, v1.3.2
2019-07-22T02:00, 9179, 65834, v1.3.2
2019-07-22T03:01, 9183, 65848, v1.3.2
2019-07-22T04:00, 9190, 65863, v1.3.2
2019-07-22T05:00, 9190, 65870, v1.3.2
2019-07-22T06:00, 9191, 65889, v1.3.2
2019-07-22T07:00, 9197, 65901, v1.3.2
2019-07-22T08:00, 9197, 65904, v1.3.2
2019-07-22T09:00, 9200, 65914, v1.3.2
2019-07-22T10:00, 9210, 65932, v1.3.2
2019-07-22T11:00, 9212, 65941, v1.3.2
2019-07-22T12:00, 9212, 65947, v1.3.2
2019-07-22T13:00, 9214, 65954, v1.3.2
2019-07-22T14:01, 9215, 65959, v1.3.2
2019-07-22T15:00, 9217, 65964, v1.3.2
2019-07-22T16:00, 9217, 65966, v1.3.2
2019-07-22T17:00, 9219, 65975, v1.3.2
2019-07-22T18:00, 9221, 65985, v1.3.2
2019-07-22T19:01, 9222, 65988, v1.3.2
2019-07-22T20:00, 9222, 65990, v1.3.2
2019-07-22T21:00, 9224, 66000, v1.3.2
2019-07-22T22:01, 9226, 66003, v1.3.2
2019-07-22T23:00, 9227, 66006, v1.3.2
2019-07-23T00:00, 9228, 66009, v1.3.2
2019-07-23T01:01, 9229, 66013, v1.3.2
2019-07-23T02:00, 9230, 66018, v1.3.2
2019-07-23T03:00, 9231, 66025, v1.3.2
2019-07-23T04:03, 9231, 66026, v1.3.2
2019-07-23T05:04, 9234, 66030, v1.3.2
2019-07-23T06:05, 9234, 66031, v1.3.2
2019-07-23T07:00, 9235, 66038, v1.3.2
2019-07-23T08:02, 9240, 66044, v1.3.2
2019-07-23T09:02, 9243, 66053, v1.3.2
2019-07-23T10:00, 9243, 66059, v1.3.2
2019-07-23T11:00, 9245, 66066, v1.3.2
2019-07-23T12:00, 9247, 66073, v1.3.2
2019-07-23T13:00, 9248, 66076, v1.3.2
2019-07-23T14:00, 9252, 66088, v1.3.2
2019-07-23T15:00, 9257, 66096, v1.3.2
2019-07-23T16:00, 9257, 66100, v1.3.2
2019-07-23T17:00, 9257, 66101, v1.3.2
2019-07-23T18:00, 9257, 66102, v1.3.2
2019-07-23T19:00, 9258, 66103, v1.3.2
2019-07-23T20:00, 9258, 66105, v1.3.2
2019-07-23T21:00, 9258, 66105, v1.3.2
2019-07-23T22:00, 9258, 66109, v1.3.2
2019-07-23T23:00, 9258, 66111, v1.3.2
2019-07-24T00:00, 9258, 66112, v1.3.2
2019-07-24T01:00, 9259, 66113, v1.3.2
2019-07-24T02:00, 9260, 66116, v1.3.2
2019-07-24T03:00, 9261, 66119, v1.3.2
2019-07-24T04:00, 9264, 66127, v1.3.2
2019-07-24T05:03, 9266, 66132, v1.3.2
2019-07-24T06:02, 9268, 66136, v1.3.2
2019-07-24T07:04, 9268, 66140, v1.3.2
2019-07-24T08:06, 9269, 66142, v1.3.2
2019-07-24T09:05, 9269, 66146, v1.3.2
2019-07-24T10:05, 9270, 66150, v1.3.2
2019-07-24T11:01, 9270, 66154, v1.3.2
2019-07-24T12:01, 9272, 66159, v1.3.2
2019-07-24T13:01, 9274, 66162, v1.3.2
2019-07-24T14:01, 9278, 66168, v1.3.2
2019-07-24T15:01, 9279, 66173, v1.3.2
2019-07-24T16:01, 9280, 66178, v1.3.2
2019-07-24T17:01, 9281, 66182, v1.3.2
2019-07-24T18:01, 9282, 66186, v1.3.2
2019-07-24T19:01, 9282, 66188, v1.3.2
2019-07-24T20:01, 9283, 66193, v1.3.2
2019-07-24T21:01, 9284, 66195, v1.3.2
2019-07-24T22:01, 9284, 66195, v1.3.2
2019-07-24T23:01, 9286, 66198, v1.3.2
2019-07-25T00:01, 9286, 66199, v1.3.2
2019-07-25T01:01, 9287, 66200, v1.3.2
2019-07-25T02:01, 9288, 66201, v1.3.2
2019-07-25T03:01, 9289, 66204, v1.3.2
2019-07-25T04:01, 9291, 66213, v1.3.2
