DateTime, Installs, Downloads, Version
2019-07-26T07:21, 515295, 1995766, v2.1.32
2019-07-26T08:00, 515340, 1995816, v2.1.32
2019-07-26T09:03, 515393, 1995881, v2.1.32
2019-07-26T10:03, 515449, 1995945, v2.1.32
2019-07-26T10:59, 515509, 1996017, v2.1.32
2019-07-26T12:00, 515544, 1996056, v2.1.32
2019-07-26T13:00, 515587, 1996109, v2.1.32
2019-07-26T14:00, 515629, 1996164, v2.1.32
2019-07-26T15:01, 515663, 1996202, v2.1.32
2019-07-26T16:01, 515693, 1996235, v2.1.32
2019-07-26T17:01, 515714, 1996259, v2.1.32
2019-07-26T18:02, 515737, 1996285, v2.1.32
2019-07-26T19:02, 515758, 1996311, v2.1.32
2019-07-26T20:02, 515780, 1996336, v2.1.32
2019-07-26T21:03, 515800, 1996361, v2.1.32
2019-07-26T22:03, 515816, 1996382, v2.1.32
2019-07-26T23:03, 515834, 1996406, v2.1.32
2019-07-26T23:59, 515848, 1996425, v2.1.32
2019-07-27T01:00, 515866, 1996446, v2.1.32
2019-07-27T02:00, 515888, 1996472, v2.1.32
2019-07-27T03:00, 515912, 1996499, v2.1.32
2019-07-27T04:01, 515943, 1996535, v2.1.32
2019-07-27T04:59, 515969, 1996571, v2.1.32
2019-07-27T06:00, 515983, 1996590, v2.1.32
2019-07-27T07:00, 516003, 1996614, v2.1.32
2019-07-27T07:59, 516032, 1996649, v2.1.32
2019-07-27T08:59, 516066, 1996692, v2.1.32
2019-07-27T09:59, 516095, 1996728, v2.1.32
2019-07-27T10:59, 516124, 1996763, v2.1.32
2019-07-27T11:59, 516157, 1996799, v2.1.32
2019-07-27T12:59, 516183, 1996833, v2.1.32
2019-07-27T13:59, 516196, 1996852, v2.1.32
2019-07-27T14:59, 516219, 1996882, v2.1.32
2019-07-27T15:59, 516231, 1996899, v2.1.32
2019-07-27T16:59, 516250, 1996923, v2.1.32
2019-07-27T17:59, 516259, 1996936, v2.1.32
2019-07-27T18:59, 516274, 1996954, v2.1.32
2019-07-27T19:59, 516290, 1996974, v2.1.32
2019-07-27T20:59, 516308, 1996995, v2.1.32
2019-07-27T21:59, 516328, 1997018, v2.1.32
2019-07-27T22:59, 516357, 1997051, v2.1.32
2019-07-27T23:59, 516381, 1997082, v2.1.32
2019-07-28T00:59, 516397, 1997102, v2.1.32
2019-07-28T01:59, 516426, 1997136, v2.1.32
2019-07-28T02:59, 516453, 1997166, v2.1.32
2019-07-28T03:59, 516472, 1997192, v2.1.32
2019-07-28T04:59, 516492, 1997217, v2.1.32
2019-07-28T05:59, 516525, 1997252, v2.1.32
2019-07-28T06:59, 516546, 1997281, v2.1.32
2019-07-28T07:59, 516570, 1997308, v2.1.32
2019-07-28T09:01, 516603, 1997347, v2.1.32
2019-07-28T09:59, 516634, 1997379, v2.1.32
2019-07-28T11:01, 516659, 1997407, v2.1.32
2019-07-28T12:00, 516685, 1997437, v2.1.32
2019-07-28T13:02, 516712, 1997468, v2.1.32
2019-07-28T14:00, 516733, 1997495, v2.1.32
