DateTime, Installs, Downloads, Version
2019-08-16T10:02, 9110, 46921, v1.30.0
2019-08-16T11:02, 9113, 47139, v1.30.0
2019-08-16T11:27, 9116, 47197, v1.30.0
2019-08-16T11:47, 9118, 47247, v1.30.0
2019-08-16T12:00, 9120, 47274, v1.30.0
2019-08-16T13:00, 9124, 47408, v1.30.0
2019-08-16T14:00, 9127, 47541, v1.30.0
2019-08-16T15:00, 9128, 47655, v1.30.0
2019-08-16T16:00, 9128, 47764, v1.30.0
2019-08-16T17:00, 9135, 47850, v1.30.0
2019-08-16T18:00, 9138, 47908, v1.30.0
2019-08-16T19:00, 9143, 47987, v1.30.0
2019-08-16T20:00, 9146, 48056, v1.30.0
2019-08-16T21:00, 9147, 48116, v1.30.0
2019-08-16T22:00, 9153, 48188, v1.30.0
2019-08-16T23:00, 9160, 48217, v1.30.0
2019-08-17T00:00, 9163, 48252, v1.30.0
2019-08-17T01:00, 9165, 48278, v1.30.0
2019-08-17T02:00, 9167, 48312, v1.30.0
2019-08-17T03:00, 9168, 48343, v1.30.0
2019-08-17T04:00, 9172, 48392, v1.30.0
2019-08-17T05:00, 9175, 48431, v1.30.0
2019-08-17T06:00, 9181, 48465, v1.30.0
2019-08-17T07:00, 9183, 48492, v1.30.0
2019-08-17T08:00, 9183, 48526, v1.30.0
2019-08-17T09:02, 9188, 48554, v1.30.0
2019-08-17T10:01, 9193, 48580, v1.30.0
2019-08-17T11:02, 9194, 48604, v1.30.0
2019-08-17T12:01, 9196, 48627, v1.30.0
2019-08-17T13:01, 9200, 48660, v1.30.0
2019-08-17T14:01, 9203, 48682, v1.30.0
2019-08-17T15:01, 9205, 48700, v1.30.0
2019-08-17T16:01, 9207, 48724, v1.30.0
2019-08-17T17:01, 9210, 48741, v1.30.0
2019-08-17T18:01, 9213, 48757, v1.30.0
2019-08-17T19:01, 9214, 48764, v1.30.0
2019-08-17T20:01, 9217, 48773, v1.30.0
2019-08-17T21:01, 9220, 48786, v1.30.0
2019-08-17T22:01, 9221, 48796, v1.30.0
2019-08-17T23:01, 9225, 48810, v1.30.0
2019-08-18T00:01, 9228, 48829, v1.30.0
2019-08-18T01:01, 9228, 48847, v1.30.0
2019-08-18T02:01, 9230, 48873, v1.30.0
2019-08-18T03:01, 9235, 48898, v1.30.0
2019-08-18T04:01, 9236, 48918, v1.30.0
2019-08-18T05:01, 9238, 48932, v1.30.0
2019-08-18T06:01, 9242, 48961, v1.30.0
2019-08-18T07:01, 9244, 48983, v1.30.0
2019-08-18T08:01, 9248, 49003, v1.30.0
2019-08-18T09:01, 9252, 49020, v1.30.0
2019-08-18T10:04, 9257, 49044, v1.30.0
2019-08-18T11:03, 9259, 49058, v1.30.0
2019-08-18T12:01, 9259, 49069, v1.30.0
2019-08-18T13:01, 9260, 49084, v1.30.0
2019-08-18T14:02, 9262, 49100, v1.30.0
2019-08-18T15:01, 9266, 49113, v1.30.0
2019-08-18T16:02, 9267, 49123, v1.30.0
2019-08-18T17:01, 9270, 49142, v1.30.0
2019-08-18T18:02, 9271, 49150, v1.30.0
2019-08-18T19:01, 9274, 49176, v1.30.0
2019-08-18T20:01, 9275, 49227, v1.30.0
2019-08-18T21:02, 9279, 49326, v1.30.0
2019-08-18T22:01, 9282, 49398, v1.30.0
2019-08-18T23:01, 9290, 49439, v1.30.0
2019-08-19T00:01, 9291, 49485, v1.30.0
2019-08-19T01:02, 9294, 49556, v1.30.0
2019-08-19T02:01, 9301, 49686, v1.30.0
2019-08-19T03:01, 9311, 49817, v1.30.0
2019-08-19T04:01, 9315, 49893, v1.30.0
2019-08-19T05:02, 9326, 49976, v1.30.0
2019-08-19T06:02, 9337, 50035, v1.30.0
2019-08-19T07:07, 9344, 50099, v1.30.0
